0000 - *CLS             *CLS          :*CLS
00C6 - SLOPe            SLOP          [:SENSe]:OUTPut:TRIGger:SLOPe
00C7 - APERture?        APER?         [:SENSe]:PERiod:APERture?
00C8 - APERture         APER          [:SENSe]:PERiod:APERture
00C9 - STATe?           STAT?         [:SENSe]:PERiod:NULL[:STATe]?
00CA - STATe            STAT          [:SENSe]:PERiod:NULL[:STATe]
00CB - VALue?           VAL?          [:SENSe]:PERiod:NULL:VALue?
00CC - VALue            VAL           [:SENSe]:PERiod:NULL:VALue
00CD - LOWer?           LOW?          [:SENSe]:PERiod:RANGe:LOWer?
00CE - LOWer            LOW           [:SENSe]:PERiod:RANGe:LOWer
00CF - AUTO?            AUTO?         [:SENSe]:PERiod:VOLTage:RANGe:AUTO?
00D0 - AUTO             AUTO          [:SENSe]:PERiod:VOLTage:RANGe:AUTO
00D1 - UPPer?           UPP?          [:SENSe]:PERiod:VOLTage:RANGe[:UPPer]?
00D2 - UPPer            UPP           [:SENSe]:PERiod:VOLTage:RANGe[:UPPer]
00D3 - APERture?        APER?         [:SENSe]:RESistance:APERture?
00D4 - APERture         APER          [:SENSe]:RESistance:APERture
00D5 - ENABled?         ENAB?         [:SENSe]:RESistance:APERture:ENABled?
00D6 - ENABled          ENAB          [:SENSe]:RESistance:APERture:ENABled
00D7 - NPLCycles?       NPLC?         [:SENSe]:RESistance:NPLCycles?
00D8 - NPLCycles        NPLC          [:SENSe]:RESistance:NPLCycles
00D9 - STATe?           STAT?         [:SENSe]:RESistance:NULL[:STATe]?
00DA - STATe            STAT          [:SENSe]:RESistance:NULL[:STATe]
00DB - VALue?           VAL?          [:SENSe]:RESistance:NULL:VALue?
00DC - VALue            VAL           [:SENSe]:RESistance:NULL:VALue
00DD - AUTO?            AUTO?         [:SENSe]:RESistance:RANGe:AUTO?
00DE - AUTO             AUTO          [:SENSe]:RESistance:RANGe:AUTO
00DF - UPPer?           UPP?          [:SENSe]:RESistance:RANGe[:UPPer]?
00E0 - UPPer            UPP           [:SENSe]:RESistance:RANGe[:UPPer]
00E1 - OCOMpensated     OCOM          [:SENSe]:RESistance:OCOMpensated
00E2 - OCOMpensated?    OCOM?         [:SENSe]:RESistance:OCOMpensated?
00E3 - RESolution?      RES?          [:SENSe]:RESistance:RESolution?
00E4 - RESolution       RES           [:SENSe]:RESistance:RESolution
00E5 - AUTO             AUTO          [:SENSe]:RESistance:ZERO:AUTO
00E6 - AUTO?            AUTO?         [:SENSe]:RESistance:ZERO:AUTO?
00E7 - BANDwidth?       BAND?         [:SENSe]:VOLTage:AC:BANDwidth?
00E8 - BANDwidth        BAND          [:SENSe]:VOLTage:AC:BANDwidth
00E9 - STATe?           STAT?         [:SENSe]:VOLTage:AC:NULL[:STATe]?
00EA - STATe            STAT          [:SENSe]:VOLTage:AC:NULL[:STATe]
00EB - VALue?           VAL?          [:SENSe]:VOLTage:AC:NULL:VALue?
00EC - VALue            VAL           [:SENSe]:VOLTage:AC:NULL:VALue
00ED - STATe?           STAT?         [:SENSe]:VOLTage:AC:PEAK:STATe?
00EE - STATe            STAT          [:SENSe]:VOLTage:AC:PEAK:STATe
00EF - AUTO?            AUTO?         [:SENSe]:VOLTage:AC:RANGe:AUTO?
00F0 - AUTO             AUTO          [:SENSe]:VOLTage:AC:RANGe:AUTO
00F1 - UPPer?           UPP?          [:SENSe]:VOLTage:AC:RANGe[:UPPer]?
00F2 - UPPer            UPP           [:SENSe]:VOLTage:AC:RANGe[:UPPer]
00F3 - RESolution?      RES?          [:SENSe]:VOLTage:AC:RESolution?
00F4 - RESolution       RES           [:SENSe]:VOLTage:AC:RESolution
00F5 - APERture?        APER?         [:SENSe]:VOLTage[:DC]:APERture?
00F6 - APERture         APER          [:SENSe]:VOLTage[:DC]:APERture
00F7 - ENABle?          ENAB?         [:SENSe]:VOLTage[:DC]:APERture:ENABle?
00F8 - ENABle           ENAB          [:SENSe]:VOLTage[:DC]:APERture:ENABle
00F9 - AUTO?            AUTO?         [:SENSe]:VOLTage[:DC]:IMPedance:AUTO?
00FA - AUTO             AUTO          [:SENSe]:VOLTage[:DC]:IMPedance:AUTO
00FB - NPLCycles?       NPLC?         [:SENSe]:VOLTage[:DC]:NPLCycles?
00FC - NPLCycles        NPLC          [:SENSe]:VOLTage[:DC]:NPLCycles
00FD - STATe?           STAT?         [:SENSe]:VOLTage[:DC]:NULL[:STATe]?
00FE - STATe            STAT          [:SENSe]:VOLTage[:DC]:NULL[:STATe]
00FF - VALue?           VAL?          [:SENSe]:VOLTage[:DC]:NULL:VALue?
0100 - VALue            VAL           [:SENSe]:VOLTage[:DC]:NULL:VALue
0101 - STATe?           STAT?         [:SENSe]:VOLTage[:DC]:PEAK:STATe?
0102 - STATe            STAT          [:SENSe]:VOLTage[:DC]:PEAK:STATe
0103 - AUTO?            AUTO?         [:SENSe]:VOLTage[:DC]:RANGe:AUTO?
0104 - AUTO             AUTO          [:SENSe]:VOLTage[:DC]:RANGe:AUTO
0105 - UPPer?           UPP?          [:SENSe]:VOLTage[:DC]:RANGe[:UPPer]?
0106 - UPPer            UPP           [:SENSe]:VOLTage[:DC]:RANGe[:UPPer]
0107 - RESolution?      RES?          [:SENSe]:VOLTage[:DC]:RESolution?
0108 - RESolution       RES           [:SENSe]:VOLTage[:DC]:RESolution
0109 - AUTO             AUTO          [:SENSe]:VOLTage[:DC]:ZERO:AUTO
010A - AUTO?            AUTO?         [:SENSe]:VOLTage[:DC]:ZERO:AUTO?
010B - BANDwidth?       BAND?         [:SENSe]:DETector:BANDwidth?
010C - BANDwidth        BAND          [:SENSe]:DETector:BANDwidth
010D - AUTO             AUTO          [:SENSe]:ZERO:AUTO
010E - AUTO?            AUTO?         [:SENSe]:ZERO:AUTO?
010F - APERture         APER          [:SENSe]:TEMPerature:APERture
0110 - APERture?        APER?         [:SENSe]:TEMPerature:APERture?
0111 - ENABled          ENAB          [:SENSe]:TEMPerature:APERture:ENABled
0112 - ENABled?         ENAB?         [:SENSe]:TEMPerature:APERture:ENABled?
0113 - NPLC             NPLC          [:SENSe]:TEMPerature:NPLC
0114 - NPLC?            NPLC?         [:SENSe]:TEMPerature:NPLC?
0115 - STATe            STAT          [:SENSe]:TEMPerature:NULL[:STATe]
0116 - STATe?           STAT?         [:SENSe]:TEMPerature:NULL[:STATe]?
0117 - VALue            VAL           [:SENSe]:TEMPerature:NULL:VALue
0118 - VALue?           VAL?          [:SENSe]:TEMPerature:NULL:VALue?
0119 - TYPE             TYPE          [:SENSe]:TEMPerature:TRANsducer:FTHermistor:TYPE
